density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
SE-C01-005-D0007,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,153.369595712,154.369595712,1.000000000,2.746917672
SE-C01-005-D0008,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,178.369595712,179.369595712,1.000000000,2.719257481
SE-C01-005-D0009,SE-C01-005,DS05,santa_elena,CAMPAIGN_01,203.369595712,204.369595712,1.000000000,2.731436087
SE-C01-006-D0001,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,20.575895326,21.575895326,1.000000000,2.638028243
SE-C01-006-D0002,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,45.575895326,46.575895326,1.000000000,2.661824166
SE-C01-006-D0003,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,70.575895326,71.575895326,1.000000000,2.640318549
SE-C01-006-D0004,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,95.575895326,96.575895326,1.000000000,2.639781549
SE-C01-006-D0005,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,120.575895326,121.575895326,1.000000000,2.667672401
SE-C01-006-D0006,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,145.575895326,146.575895326,1.000000000,2.614666184
SE-C01-006-D0007,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,170.575895326,171.575895326,1.000000000,2.632422415
SE-C01-006-D0008,SE-C01-006,DS05,santa_elena,CAMPAIGN_01,195.575895326,196.575895326,1.000000000,2.640949797
SE-C01-007-D0001,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,23.040997357,24.040997357,1.000000000,2.727862873
SE-C01-007-D0002,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,48.040997357,49.040997357,1.000000000,2.642389095
SE-C01-007-D0003,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,73.040997357,74.040997357,1.000000000,2.659430557
SE-C01-007-D0004,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,98.040997357,99.040997357,1.000000000,2.654782285
SE-C01-007-D0005,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,123.040997357,124.040997357,1.000000000,2.694914092
SE-C01-007-D0006,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,148.040997357,149.040997357,1.000000000,2.666171046
SE-C01-007-D0007,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,173.040997357,174.040997357,1.000000000,2.686914252
SE-C01-007-D0008,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,198.040997357,199.040997357,1.000000000,2.680825707
SE-C01-007-D0009,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,223.040997357,224.040997357,1.000000000,2.689048570
SE-C01-007-D0010,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,248.040997357,249.040997357,1.000000000,2.715478486
SE-C01-007-D0011,SE-C01-007,DS05,santa_elena,CAMPAIGN_01,273.040997357,274.040997357,1.000000000,2.663816124
SE-C01-008-D0001,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,3.388313666,4.388313666,1.000000000,2.183611824
SE-C01-008-D0002,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,28.388313666,29.388313666,1.000000000,2.704204330
SE-C01-008-D0003,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,53.388313666,54.388313666,1.000000000,2.740704708
SE-C01-008-D0004,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,78.388313666,79.388313666,1.000000000,2.686346846
SE-C01-008-D0005,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,103.388313666,104.388313666,1.000000000,2.734600352
SE-C01-008-D0006,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,128.388313666,129.388313666,1.000000000,2.714468303
SE-C01-008-D0007,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,153.388313666,154.388313666,1.000000000,2.724851727
SE-C01-008-D0008,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,178.388313666,179.388313666,1.000000000,2.706071143
SE-C01-008-D0009,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,203.388313666,204.388313666,1.000000000,2.704914830
SE-C01-008-D0010,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,228.388313666,229.388313666,1.000000000,2.703459171
SE-C01-008-D0011,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,253.388313666,254.388313666,1.000000000,2.711662160
SE-C01-008-D0012,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,278.388313666,279.388313666,1.000000000,2.720729399
SE-C01-008-D0013,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,303.388313666,304.388313666,1.000000000,2.737907786
SE-C01-008-D0014,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,328.388313666,329.388313666,1.000000000,2.725533674
SE-C01-008-D0015,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,353.388313666,354.388313666,1.000000000,2.732673073
SE-C01-008-D0016,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,378.388313666,379.388313666,1.000000000,2.708505377
SE-C01-008-D0017,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,403.388313666,404.388313666,1.000000000,2.718407215
SE-C01-008-D0018,SE-C01-008,DS05,santa_elena,CAMPAIGN_01,428.388313666,429.388313666,1.000000000,2.713374024
SE-C01-009-D0001,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,23.290105799,24.290105799,1.000000000,2.706826745
SE-C01-009-D0002,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,48.290105799,49.290105799,1.000000000,2.716060344
SE-C01-009-D0003,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,73.290105799,74.290105799,1.000000000,2.717657177
SE-C01-009-D0004,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,98.290105799,99.290105799,1.000000000,2.695897444
SE-C01-009-D0005,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,123.290105799,124.290105799,1.000000000,2.753790065
SE-C01-009-D0006,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,148.290105799,149.290105799,1.000000000,2.696560414
SE-C01-009-D0007,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,173.290105799,174.290105799,1.000000000,2.698695392
SE-C01-009-D0008,SE-C01-009,DS05,santa_elena,CAMPAIGN_01,198.290105799,199.290105799,1.000000000,2.724054449
SE-C01-010-D0001,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,22.696382277,23.696382277,1.000000000,2.655851428
SE-C01-010-D0002,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,47.696382277,48.696382277,1.000000000,2.646213417
SE-C01-010-D0003,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,72.696382277,73.696382277,1.000000000,2.657688980
SE-C01-010-D0004,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,97.696382277,98.696382277,1.000000000,2.645276761
SE-C01-010-D0005,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,122.696382277,123.696382277,1.000000000,2.636022034
SE-C01-010-D0006,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,147.696382277,148.696382277,1.000000000,2.625417158
SE-C01-010-D0007,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,172.696382277,173.696382277,1.000000000,2.651326371
SE-C01-010-D0008,SE-C01-010,DS05,santa_elena,CAMPAIGN_01,197.696382277,198.696382277,1.000000000,2.615704101
SE-C01-011-D0001,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,18.514600877,19.514600877,1.000000000,2.646369610
SE-C01-011-D0002,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,43.514600877,44.514600877,1.000000000,2.676489304
SE-C01-011-D0003,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,68.514600877,69.514600877,1.000000000,2.699487675
SE-C01-011-D0004,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,93.514600877,94.514600877,1.000000000,2.671117151
SE-C01-011-D0005,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,118.514600877,119.514600877,1.000000000,2.683916262
SE-C01-011-D0006,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,143.514600877,144.514600877,1.000000000,2.623976763
SE-C01-011-D0007,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,168.514600877,169.514600877,1.000000000,2.668117641
SE-C01-011-D0008,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,193.514600877,194.514600877,1.000000000,2.654533262
SE-C01-011-D0009,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,218.514600877,219.514600877,1.000000000,2.694422410
SE-C01-011-D0010,SE-C01-011,DS05,santa_elena,CAMPAIGN_01,243.514600877,244.514600877,1.000000000,2.663206138
SE-C01-012-D0001,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,11.009422588,12.009422588,1.000000000,2.768293461
SE-C01-012-D0002,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,36.009422588,37.009422588,1.000000000,2.649207553
SE-C01-012-D0003,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,61.009422588,62.009422588,1.000000000,2.717551180
SE-C01-012-D0004,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,86.009422588,87.009422588,1.000000000,2.736955235
SE-C01-012-D0005,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,111.009422588,112.009422588,1.000000000,2.748531871
SE-C01-012-D0006,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,136.009422588,137.009422588,1.000000000,2.724049164
SE-C01-012-D0007,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,161.009422588,162.009422588,1.000000000,2.727710402
SE-C01-012-D0008,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,186.009422588,187.009422588,1.000000000,2.719861398
SE-C01-012-D0009,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,211.009422588,212.009422588,1.000000000,2.754189633
SE-C01-012-D0010,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,236.009422588,237.009422588,1.000000000,2.683050311
SE-C01-012-D0011,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,261.009422588,262.009422588,1.000000000,2.722777920
SE-C01-012-D0012,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,286.009422588,287.009422588,1.000000000,2.705985839
SE-C01-012-D0013,SE-C01-012,DS05,santa_elena,CAMPAIGN_01,311.009422588,312.009422588,1.000000000,2.718840344
SE-C01-013-D0001,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,16.893195010,17.893195010,1.000000000,2.724222614
SE-C01-013-D0002,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,41.893195010,42.893195010,1.000000000,2.661915749
SE-C01-013-D0003,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,66.893195010,67.893195010,1.000000000,2.730804193
SE-C01-013-D0004,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,91.893195010,92.893195010,1.000000000,2.728708631
SE-C01-013-D0005,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,116.893195010,117.893195010,1.000000000,2.751561383
SE-C01-013-D0006,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,141.893195010,142.893195010,1.000000000,2.718089133
SE-C01-013-D0007,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,166.893195010,167.893195010,1.000000000,2.719967269
SE-C01-013-D0008,SE-C01-013,DS05,santa_elena,CAMPAIGN_01,191.893195010,192.893195010,1.000000000,2.724954595
SE-C01-014-D0001,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,0.421231497,1.421231497,1.000000000,2.164247103
SE-C01-014-D0002,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,25.421231497,26.421231497,1.000000000,2.725464664
SE-C01-014-D0003,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,50.421231497,51.421231497,1.000000000,2.719059165
SE-C01-014-D0004,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,75.421231497,76.421231497,1.000000000,2.716308004
SE-C01-014-D0005,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,100.421231497,101.421231497,1.000000000,2.762036351
SE-C01-014-D0006,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,125.421231497,126.421231497,1.000000000,2.761748884
SE-C01-014-D0007,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,150.421231497,151.421231497,1.000000000,2.743839672
SE-C01-014-D0008,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,175.421231497,176.421231497,1.000000000,2.730555332
SE-C01-014-D0009,SE-C01-014,DS05,santa_elena,CAMPAIGN_01,200.421231497,201.421231497,1.000000000,2.743563490
SE-C01-015-D0001,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,12.488032961,13.488032961,1.000000000,2.710450502
SE-C01-015-D0002,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,37.488032961,38.488032961,1.000000000,2.712761905
SE-C01-015-D0003,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,62.488032961,63.488032961,1.000000000,2.727872941
SE-C01-015-D0004,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,87.488032961,88.488032961,1.000000000,2.720212991
SE-C01-015-D0005,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,112.488032961,113.488032961,1.000000000,2.756784320
SE-C01-015-D0006,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,137.488032961,138.488032961,1.000000000,2.737250799
SE-C01-015-D0007,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,162.488032961,163.488032961,1.000000000,2.722485573
SE-C01-015-D0008,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,187.488032961,188.488032961,1.000000000,2.736407161
SE-C01-015-D0009,SE-C01-015,DS05,santa_elena,CAMPAIGN_01,212.488032961,213.488032961,1.000000000,2.710850089
SE-C01-016-D0001,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,2.736480849,3.736480849,1.000000000,2.200265830
SE-C01-016-D0002,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,27.736480849,28.736480849,1.000000000,2.724216586
SE-C01-016-D0003,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,52.736480849,53.736480849,1.000000000,2.692893999
SE-C01-016-D0004,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,77.736480849,78.736480849,1.000000000,2.716604965
SE-C01-016-D0005,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,102.736480849,103.736480849,1.000000000,2.703644206
SE-C01-016-D0006,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,127.736480849,128.736480849,1.000000000,2.731945028
SE-C01-016-D0007,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,152.736480849,153.736480849,1.000000000,2.710328261
SE-C01-016-D0008,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,177.736480849,178.736480849,1.000000000,2.680039291
SE-C01-016-D0009,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,202.736480849,203.736480849,1.000000000,2.725019192
SE-C01-016-D0010,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,227.736480849,228.736480849,1.000000000,2.708796298
SE-C01-016-D0011,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,252.736480849,253.736480849,1.000000000,2.723871890
SE-C01-016-D0012,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,277.736480849,278.736480849,1.000000000,2.697901971
SE-C01-016-D0013,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,302.736480849,303.736480849,1.000000000,2.722475608
SE-C01-016-D0014,SE-C01-016,DS05,santa_elena,CAMPAIGN_01,327.736480849,328.736480849,1.000000000,2.716009945
SE-C02-001-D0001,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,10.399852839,11.399852839,1.000000000,2.618790430
SE-C02-001-D0002,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,35.399852839,36.399852839,1.000000000,2.631048174
SE-C02-001-D0003,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,60.399852839,61.399852839,1.000000000,2.612139257
SE-C02-001-D0004,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,85.399852839,86.399852839,1.000000000,2.629540000
SE-C02-001-D0005,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,110.399852839,111.399852839,1.000000000,2.657001023
SE-C02-001-D0006,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,135.399852839,136.399852839,1.000000000,2.651170072
SE-C02-001-D0007,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,160.399852839,161.399852839,1.000000000,2.605305750
SE-C02-001-D0008,SE-C02-001,DS05,santa_elena,CAMPAIGN_02,185.399852839,186.399852839,1.000000000,2.629156728
SE-C02-002-D0001,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,4.049024785,5.049024785,1.000000000,2.193640158
SE-C02-002-D0002,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,29.049024785,30.049024785,1.000000000,2.632402118
SE-C02-002-D0003,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,54.049024785,55.049024785,1.000000000,2.655260327
SE-C02-002-D0004,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,79.049024785,80.049024785,1.000000000,2.681147281
SE-C02-002-D0005,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,104.049024785,105.049024785,1.000000000,2.652236088
SE-C02-002-D0006,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,129.049024785,130.049024785,1.000000000,2.636289379
SE-C02-002-D0007,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,154.049024785,155.049024785,1.000000000,2.616297073
SE-C02-002-D0008,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,179.049024785,180.049024785,1.000000000,2.569948099
SE-C02-002-D0009,SE-C02-002,DS05,santa_elena,CAMPAIGN_02,204.049024785,205.049024785,1.000000000,2.610789935
SE-C02-003-D0001,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,14.985679295,15.985679295,1.000000000,2.634482876
SE-C02-003-D0002,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,39.985679295,40.985679295,1.000000000,2.628315976
SE-C02-003-D0003,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,64.985679295,65.985679295,1.000000000,2.649945906
SE-C02-003-D0004,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,89.985679295,90.985679295,1.000000000,2.628815898
SE-C02-003-D0005,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,114.985679295,115.985679295,1.000000000,2.645119755
SE-C02-003-D0006,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,139.985679295,140.985679295,1.000000000,2.622498449
SE-C02-003-D0007,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,164.985679295,165.985679295,1.000000000,2.628302987
SE-C02-003-D0008,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,189.985679295,190.985679295,1.000000000,2.595550277
SE-C02-003-D0009,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,214.985679295,215.985679295,1.000000000,2.558001595
SE-C02-003-D0010,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,239.985679295,240.985679295,1.000000000,2.580755568
SE-C02-003-D0011,SE-C02-003,DS05,santa_elena,CAMPAIGN_02,264.985679295,265.985679295,1.000000000,2.635467013
SE-C02-004-D0001,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,1.001394117,2.001394117,1.000000000,2.185433686
SE-C02-004-D0002,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,26.001394117,27.001394117,1.000000000,2.708330994
SE-C02-004-D0003,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,51.001394117,52.001394117,1.000000000,2.698483051
SE-C02-004-D0004,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,76.001394117,77.001394117,1.000000000,2.745917436
SE-C02-004-D0005,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,101.001394117,102.001394117,1.000000000,2.659729082
SE-C02-004-D0006,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,126.001394117,127.001394117,1.000000000,2.662757851
SE-C02-004-D0007,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,151.001394117,152.001394117,1.000000000,2.685417007
SE-C02-004-D0008,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,176.001394117,177.001394117,1.000000000,2.678644935
SE-C02-004-D0009,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,201.001394117,202.001394117,1.000000000,2.664897484
SE-C02-004-D0010,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,226.001394117,227.001394117,1.000000000,2.668236291
SE-C02-004-D0011,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,251.001394117,252.001394117,1.000000000,2.658234990
SE-C02-004-D0012,SE-C02-004,DS05,santa_elena,CAMPAIGN_02,276.001394117,277.001394117,1.000000000,2.636154781
