sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,cu_pct,mo_pct,au_gt
SE-C01-001-A0066,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,130.000000000,132.000000000,2.000000000,0.021649204,0.000000000,0.000000000
SE-C01-001-A0067,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,132.000000000,134.000000000,2.000000000,0.024575731,0.000000000,0.000000000
SE-C01-001-A0068,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,134.000000000,136.000000000,2.000000000,0.024964803,0.000000000,0.000000000
SE-C01-001-A0069,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,136.000000000,138.000000000,2.000000000,0.030080256,0.000000000,0.000000000
SE-C01-001-A0070,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,138.000000000,140.000000000,2.000000000,0.024100905,0.000000000,0.000000000
SE-C01-001-A0071,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,140.000000000,142.000000000,2.000000000,0.028004990,0.000000000,0.000000000
SE-C01-001-A0072,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,142.000000000,144.000000000,2.000000000,0.025943429,0.000000000,0.000000000
SE-C01-001-A0073,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,144.000000000,146.000000000,2.000000000,0.024977150,0.000000000,0.000000000
SE-C01-001-A0074,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,146.000000000,148.000000000,2.000000000,0.025743639,0.000000000,0.000000000
SE-C01-001-A0075,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,148.000000000,150.000000000,2.000000000,0.026391265,0.000000000,0.000000000
SE-C01-001-A0076,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,150.000000000,152.000000000,2.000000000,0.023778377,0.000000000,0.000000000
SE-C01-001-A0077,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,152.000000000,154.000000000,2.000000000,0.027259053,0.000000000,0.000000000
SE-C01-001-A0078,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,154.000000000,156.000000000,2.000000000,0.026817025,0.000000000,0.000000000
SE-C01-001-A0079,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,156.000000000,158.000000000,2.000000000,0.023310865,0.000000000,0.000000000
SE-C01-001-A0080,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,158.000000000,160.000000000,2.000000000,0.024659492,0.000000000,0.000000000
SE-C01-001-A0081,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,160.000000000,162.000000000,2.000000000,0.024922824,0.000000000,0.000000000
SE-C01-001-A0082,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,162.000000000,164.000000000,2.000000000,0.022396890,0.000000000,0.000000000
SE-C01-001-A0083,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,164.000000000,166.000000000,2.000000000,0.029562495,0.000000000,0.000000000
SE-C01-001-A0084,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,166.000000000,168.000000000,2.000000000,0.028266163,0.000000000,0.000000000
SE-C01-001-A0085,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,168.000000000,170.000000000,2.000000000,0.023982189,0.000000000,0.000000000
SE-C01-001-A0086,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,170.000000000,172.000000000,2.000000000,0.023761776,0.000000000,0.000000000
SE-C01-001-A0087,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,172.000000000,174.000000000,2.000000000,0.024717438,0.000000000,0.000000000
SE-C01-001-A0088,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,174.000000000,176.000000000,2.000000000,0.023456893,0.000000000,0.000000000
SE-C01-001-A0089,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,176.000000000,178.000000000,2.000000000,0.025386759,0.000000000,0.000000000
SE-C01-001-A0090,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,178.000000000,180.000000000,2.000000000,0.024421809,0.000000000,0.000000000
SE-C01-001-A0091,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,180.000000000,182.000000000,2.000000000,0.026960491,0.000000000,0.000000000
SE-C01-001-A0092,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,182.000000000,184.000000000,2.000000000,0.025907372,0.000000000,0.000000000
SE-C01-001-A0093,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,184.000000000,186.000000000,2.000000000,0.028246945,0.000000000,0.000000000
SE-C01-001-A0094,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,186.000000000,188.000000000,2.000000000,0.023730994,0.000000000,0.000000000
SE-C01-001-A0095,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,188.000000000,190.000000000,2.000000000,0.025428897,0.000000000,0.000000000
SE-C01-001-A0096,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,190.000000000,192.000000000,2.000000000,0.027758003,0.000000000,0.000000000
SE-C01-001-A0097,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,192.000000000,194.000000000,2.000000000,0.026347498,0.000000000,0.000000000
SE-C01-001-A0098,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,194.000000000,196.000000000,2.000000000,0.024968987,0.000000000,0.000000000
SE-C01-001-A0099,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,196.000000000,198.000000000,2.000000000,0.022838575,0.000000000,0.000000000
SE-C01-001-A0100,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,198.000000000,200.000000000,2.000000000,0.022645283,0.000000000,0.000000000
SE-C01-001-A0101,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,200.000000000,202.000000000,2.000000000,0.024650503,0.000000000,0.000000000
SE-C01-001-A0102,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,202.000000000,204.000000000,2.000000000,0.026322911,0.000000000,0.000000000
SE-C01-001-A0103,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,204.000000000,206.000000000,2.000000000,0.027107154,0.000000000,0.000000000
SE-C01-001-A0104,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,206.000000000,208.000000000,2.000000000,0.025828237,0.000000000,0.000000000
SE-C01-001-A0105,SE-C01-001,DS05,santa_elena,CAMPAIGN_01,208.000000000,210.000000000,2.000000000,0.027539775,0.000000000,0.000000000
SE-C01-002-A0001,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,0.000000000,2.000000000,2.000000000,0.028991831,0.000000000,0.000000000
SE-C01-002-A0002,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,2.000000000,4.000000000,2.000000000,0.029312509,0.000000000,0.000000000
SE-C01-002-A0003,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,4.000000000,6.000000000,2.000000000,0.029194129,0.000000000,0.000000000
SE-C01-002-A0004,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,6.000000000,8.000000000,2.000000000,0.030572338,0.000000000,0.000000000
SE-C01-002-A0005,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,8.000000000,10.000000000,2.000000000,0.030122201,0.000000000,0.000000000
SE-C01-002-A0006,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,10.000000000,12.000000000,2.000000000,0.030363176,0.000000000,0.000000000
SE-C01-002-A0007,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,12.000000000,14.000000000,2.000000000,0.031864159,0.000000000,0.000000000
SE-C01-002-A0008,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,14.000000000,16.000000000,2.000000000,0.030342449,0.000000000,0.000000000
SE-C01-002-A0009,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,16.000000000,18.000000000,2.000000000,0.030934066,0.000000000,0.000000000
SE-C01-002-A0010,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,18.000000000,20.000000000,2.000000000,0.032675497,0.000000000,0.000000000
SE-C01-002-A0011,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,20.000000000,22.000000000,2.000000000,0.035626875,0.000000000,0.000000000
SE-C01-002-A0012,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,22.000000000,24.000000000,2.000000000,0.033196404,0.000000000,0.000000000
SE-C01-002-A0013,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,24.000000000,26.000000000,2.000000000,0.031754190,0.000000000,0.000000000
SE-C01-002-A0014,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,26.000000000,28.000000000,2.000000000,0.037193334,0.000000000,0.000000000
SE-C01-002-A0015,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,28.000000000,30.000000000,2.000000000,0.031531805,0.000000000,0.000000000
SE-C01-002-A0016,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,30.000000000,32.000000000,2.000000000,0.038038667,0.000000000,0.000000000
SE-C01-002-A0017,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,32.000000000,34.000000000,2.000000000,0.029419717,0.000000000,0.000000000
SE-C01-002-A0018,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,34.000000000,36.000000000,2.000000000,0.036500219,0.000000000,0.000000000
SE-C01-002-A0019,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,36.000000000,38.000000000,2.000000000,0.037913430,0.000000000,0.000000000
SE-C01-002-A0020,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,38.000000000,40.000000000,2.000000000,0.035845845,0.000000000,0.000000000
SE-C01-002-A0021,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,40.000000000,42.000000000,2.000000000,0.036912968,0.000000000,0.000000000
SE-C01-002-A0022,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,42.000000000,44.000000000,2.000000000,0.035855236,0.000000000,0.000000000
SE-C01-002-A0023,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,44.000000000,46.000000000,2.000000000,0.040566724,0.000000000,0.000000000
SE-C01-002-A0024,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,46.000000000,48.000000000,2.000000000,0.039409157,0.000000000,0.000000000
SE-C01-002-A0025,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,48.000000000,50.000000000,2.000000000,0.039602839,0.000000000,0.000000000
SE-C01-002-A0026,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,50.000000000,52.000000000,2.000000000,0.040607703,0.000000000,0.000000000
SE-C01-002-A0027,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,52.000000000,54.000000000,2.000000000,0.041631761,0.000000000,0.000000000
SE-C01-002-A0028,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,54.000000000,56.000000000,2.000000000,0.039349250,0.000000000,0.000000000
SE-C01-002-A0029,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,56.000000000,58.000000000,2.000000000,0.041802085,0.000000000,0.000000000
SE-C01-002-A0030,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,58.000000000,60.000000000,2.000000000,0.042887901,0.000000000,0.000000000
SE-C01-002-A0031,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,60.000000000,62.000000000,2.000000000,0.043457065,0.000000000,0.000000000
SE-C01-002-A0032,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,62.000000000,64.000000000,2.000000000,0.043828784,0.000000000,0.000000000
SE-C01-002-A0033,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,64.000000000,66.000000000,2.000000000,0.042226312,0.000000000,0.000000000
SE-C01-002-A0034,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,66.000000000,68.000000000,2.000000000,0.043300455,0.000000000,0.000000000
SE-C01-002-A0035,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,68.000000000,70.000000000,2.000000000,0.044560479,0.000000000,0.000000000
SE-C01-002-A0036,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,70.000000000,72.000000000,2.000000000,0.047227019,0.000000000,0.000000000
SE-C01-002-A0037,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,72.000000000,74.000000000,2.000000000,0.042787906,0.000000000,0.000000000
SE-C01-002-A0038,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,74.000000000,76.000000000,2.000000000,0.046168327,0.000000000,0.000000000
SE-C01-002-A0039,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,76.000000000,78.000000000,2.000000000,0.044644317,0.000000000,0.000000000
SE-C01-002-A0040,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,78.000000000,80.000000000,2.000000000,0.041964168,0.000000000,0.000000000
SE-C01-002-A0041,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,80.000000000,82.000000000,2.000000000,0.048075790,0.000000000,0.000000000
SE-C01-002-A0042,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,82.000000000,84.000000000,2.000000000,0.043880876,0.000000000,0.000000000
SE-C01-002-A0043,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,84.000000000,86.000000000,2.000000000,0.048605789,0.000000000,0.000000000
SE-C01-002-A0044,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,86.000000000,88.000000000,2.000000000,0.050395550,0.000000000,0.000000000
SE-C01-002-A0045,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,88.000000000,90.000000000,2.000000000,0.048548450,0.000000000,0.000000000
SE-C01-002-A0046,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,90.000000000,92.000000000,2.000000000,0.048725229,0.000000000,0.000000000
SE-C01-002-A0047,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,92.000000000,94.000000000,2.000000000,0.046726827,0.000000000,0.000000000
SE-C01-002-A0048,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,94.000000000,96.000000000,2.000000000,0.050203050,0.000000000,0.000000000
SE-C01-002-A0049,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,96.000000000,98.000000000,2.000000000,0.052075640,0.000000000,0.000000000
SE-C01-002-A0050,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,98.000000000,100.000000000,2.000000000,0.055347199,0.000000000,0.000000000
SE-C01-002-A0051,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,100.000000000,102.000000000,2.000000000,0.056212104,0.000000000,0.000000000
SE-C01-002-A0052,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,102.000000000,104.000000000,2.000000000,0.056291631,0.000000000,0.000000000
SE-C01-002-A0053,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,104.000000000,106.000000000,2.000000000,0.053135539,0.000000000,0.000000000
SE-C01-002-A0054,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,106.000000000,108.000000000,2.000000000,0.054827385,0.000000000,0.000000000
SE-C01-002-A0055,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,108.000000000,110.000000000,2.000000000,0.057881774,0.000000000,0.000000000
SE-C01-002-A0056,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,110.000000000,112.000000000,2.000000000,0.056463928,0.000000000,0.000000000
SE-C01-002-A0057,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,112.000000000,114.000000000,2.000000000,0.054446754,0.000000000,0.000000000
SE-C01-002-A0058,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,114.000000000,116.000000000,2.000000000,0.055236158,0.000000000,0.000000000
SE-C01-002-A0059,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,116.000000000,118.000000000,2.000000000,0.059053063,0.000000000,0.000000000
SE-C01-002-A0060,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,118.000000000,120.000000000,2.000000000,0.056758954,0.000000000,0.000000000
SE-C01-002-A0061,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,120.000000000,122.000000000,2.000000000,0.059982283,0.000000000,0.000000000
SE-C01-002-A0062,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,122.000000000,124.000000000,2.000000000,0.058614827,0.000000000,0.000000000
SE-C01-002-A0063,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,124.000000000,126.000000000,2.000000000,0.059794553,0.000000000,0.000000000
SE-C01-002-A0064,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,126.000000000,128.000000000,2.000000000,0.059992368,0.000000000,0.000000000
SE-C01-002-A0065,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,128.000000000,130.000000000,2.000000000,0.059938294,0.000000000,0.000000000
SE-C01-002-A0066,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,130.000000000,132.000000000,2.000000000,0.064462555,0.000000000,0.000000000
SE-C01-002-A0067,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,132.000000000,134.000000000,2.000000000,0.062506675,0.000000000,0.000000000
SE-C01-002-A0068,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,134.000000000,136.000000000,2.000000000,0.063326710,0.000000000,0.000000000
SE-C01-002-A0069,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,136.000000000,138.000000000,2.000000000,0.064341243,0.000000000,0.000000000
SE-C01-002-A0070,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,138.000000000,140.000000000,2.000000000,0.068382193,0.000000000,0.000000000
SE-C01-002-A0071,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,140.000000000,142.000000000,2.000000000,0.063174529,0.000000000,0.000000000
SE-C01-002-A0072,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,142.000000000,144.000000000,2.000000000,0.061316270,0.000000000,0.000000000
SE-C01-002-A0073,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,144.000000000,146.000000000,2.000000000,0.065246451,0.000000000,0.000000000
SE-C01-002-A0074,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,146.000000000,148.000000000,2.000000000,0.062998827,0.000000000,0.000000000
SE-C01-002-A0075,SE-C01-002,DS05,santa_elena,CAMPAIGN_01,148.000000000,150.000000000,2.000000000,0.068111421,0.000000000,0.000000000
